commit_date	filename	commit_hash	word_count
2016-04-11	sykes_dissertation_exact.tex	525a13bf245c4791fcabe874c18b9ca0ec7f2a4c	5811
2016-04-12	sykes_dissertation_stability.tex	5f388114fd9431ac3e87b1b5fea6ae778d25c599	9396
2016-04-13	sykes_dissertation_burntime.tex	31a0bfc104ad3ce864beaff7202b621269d53eaa	5352
2016-04-14	sykes_dissertation.tex	595b0607bdd5127040304643bb35800c30f36139	147
2016-04-14	sykes_dissertation_acknowledgments.tex	dc58de3cf361a4b636d3393c27e70c757bd73a68	560
2016-04-14	sykes_dissertation_burntime.tex	361d550027bd6be5ccffea3a1c1768858ddd33df	5102
2016-04-14	sykes_dissertation_dedication.tex	8fb1aab4323ed5abc3d64a33b3800c0330fa774f	15
2016-04-14	sykes_dissertation_stability.tex	afb7a737a656ebf607c4b3c6218f56eb6716fe26	9601
2016-04-15	sykes_dissertation_burntime.tex	037660a9882b8ede6d7643ba1167fbf9c210e09a	5102
2016-04-15	sykes_dissertation_exact.tex	16e6c22943a15db30192c49bc5f57f19019e63c8	5900
2016-04-15	sykes_dissertation_stability.tex	a9fe9379c88b96eaf641426a5858da3926540319	9125
2016-04-18	sykes_dissertation.tex	4cca9f065b6c99a05863e5041cf0063b40241dfb	144
2016-04-18	sykes_dissertation_burntime.tex	36e46ff95efbbe55723f059d4ab9708de365337d	5102
2016-04-19	sykes_dissertation_burnaxis.tex	2133060739fcbbac4c5b2640cbbcbbd56af0fb2c	1354
2016-04-19	sykes_dissertation_burntime.tex	dc206b02dac03c5d60051aeb43bb0e5a9ad71eb5	"
5149
 (errors:1)"
2016-04-19	sykes_dissertation_stability.tex	69e4762316396ff2a69454362138c56874ba1f60	9380
2016-04-20	sykes_dissertation.tex	57743c9e7cfdab64cc6064855238d27288246329	142
2016-04-20	sykes_dissertation_abstract.tex	6e26ee33777afc3cd12c6c5ac864154db23a4f73	268
2016-04-20	sykes_dissertation_burnaxis.tex	b4fa84aba30193abf6a391e7ed5b6ed47b78ccd4	1607
2016-04-20	sykes_dissertation_burntime.tex	5ff13e8f2f222fe15681ce86ad42572108f9fd4f	5034
2016-04-20	sykes_dissertation_defn.tex	d8afb2b85402ac86d44a6cd9c980f80ca6e7b8c3	1773
2016-04-20	sykes_dissertation_intro.tex	35045e04d387abb9370d2600f192ffff63b9f325	499
2016-04-21	sykes_dissertation_burntime.tex	fddbf568d93a32c73b78eba2784fcd1f8455d9dd	5054
2016-04-21	sykes_dissertation_exact.tex	93af571fdd36909637f475b76ff6e16c2639ab62	5899
